"observed","SAR","M5P.pred","SVMR.pred","predLars","predMars"
0.82,0.799,0.794775960029333,0.750143036558287,0.730062860430652,0.714270325910389
0.41,0.455833333333334,0.794775960029333,0.504888377475771,0.478905129827514,0.479482834046602
0.83,0.799,0.794775960029333,0.751134549711629,0.720111724730346,0.714270325910389
0.41,0.453970588235294,0.794775960029333,0.478970327654374,0.465151741983861,0.463855760284735
0.816666667,0.727075193790698,0.670793001569159,0.709170106008583,0.651442328974152,0.719540803857137
0.61,0.674444444444444,0.674969634378385,0.580567607996763,0.68340292168523,0.690050272175185
0.52,0.55,0.674969634378385,0.538083271022368,0.577948420177928,0.576169161405018
0.69,0.674444444444444,0.674969634378385,0.730746819283684,0.712646279151643,0.690050272175185
0.62,0.674444444444444,0.674969634378385,0.642492170440808,0.675430925609998,0.690050272175185
0.44,0.471025641025641,0.674969634378385,0.441043300508473,0.470160037604492,0.45405315086473
0.65,0.674444444444444,0.674969634378385,0.66674917552559,0.691978220659151,0.690050272175185
0.73,0.674444444444444,0.674969634378385,0.734795265713854,0.700373255533244,0.690050272175185
0.67,0.674444444444444,0.674969634378385,0.700363593058446,0.715293330645099,0.690050272175185
0.63,0.674444444444444,0.674969634378385,0.689563424607755,0.711055072336118,0.690050272175185
0.43,0.471025641025641,0.686556412073152,0.434532793426024,0.461519353430972,0.456168810339125
0.69,0.76695652173913,0.686556412073152,0.721095189558323,0.679472296529824,0.691064269391445
0.68,0.64,0.686556412073152,0.702788847696429,0.644567421477005,0.691064269391445
0.76,0.76695652173913,0.686556412073152,0.784843739480169,0.691043095909172,0.691064269391445
0.743333333,0.63277777775,0.683058707531217,0.709510057764894,0.630847165824164,0.71901289497629
0.75,0.76125,0.697806379336441,0.776908420432504,0.573908594455117,0.698045536144433
0.74,0.76125,0.697806379336441,0.738772842114166,0.671391099887187,0.812006482350281
0.49,0.471025641025641,0.697806379336441,0.500988952378207,0.466120211881682,0.575843917158295
0.79,0.76125,0.697806379336441,0.726000357623534,0.649168279927715,0.812006482350281
0.82,0.76125,0.697806379336441,0.642456931072026,0.696333429810434,0.812006482350281
0.74,0.76125,0.697806379336441,0.672814125733848,0.608763926807551,0.730000772254895
0.79,0.76125,0.697806379336441,0.744401990811966,0.716966382313613,0.812006482350281
0.76,0.76125,0.697806379336441,0.782423334651867,0.707015246613307,0.812006482350281
0.48,0.453970588235294,0.697806379336441,0.536311173315565,0.452055263866822,0.560329852129019
0.83,0.76125,0.697806379336441,0.739301668754676,0.695643954359882,0.812006482350281
0.83,0.76125,0.697806379336441,0.740655122116546,0.697630617953036,0.812006482350281
0.75,0.76125,0.697806379336441,0.690562312857036,0.64936597305599,0.812006482350281
0.76,0.775,0.710656133889884,0.707470440225721,0.690729165346021,0.841236046204926
0.49,0.408,0.710656133889884,0.464947591872997,0.487297835819946,0.60585537125806
0.74,0.775,0.710656133889884,0.729748027692619,0.709116018874604,0.841236046204926
0.75,0.775,0.710656133889884,0.711906617779623,0.705250778918797,0.841236046204926
0.8,0.775,0.710656133889884,0.740013132389866,0.670345903865979,0.841236046204926
0.79,0.775,0.710656133889884,0.697417851551021,0.629941550745815,0.759501841734133
0.81,0.775,0.710656133889884,0.729161698033571,0.738144006251878,0.841236046204926
0.5,0.455833333333334,0.710656133889884,0.489074081156288,0.486986275648739,0.60604650398692
0.5,0.453970588235294,0.710656133889884,0.459681811387385,0.473232887805086,0.590392670407094
0.84,0.775,0.710656133889884,0.720655393838875,0.716821578298146,0.841236046204926
0.84,0.775,0.710656133889884,0.7601352617853,0.718808241891301,0.841236046204926
0.676666667,0.893333333333333,0.709479964196319,0.682606282312171,0.667012526181357,0.828413030135843
0.87,0.846923076923077,0.718637999044567,0.884494725057774,0.714654484037935,0.838773915852965
0.86,0.846923076923077,0.718637999044567,0.862003443866886,0.733731335714902,0.838773915852965
0.86,0.846923076923077,0.718637999044567,0.772978230709634,0.722360043461477,0.838773915852965
