ConditionalTree,M5P,Cubist,SVMR,LARS,MARS
-0.011,-0.01522404,-0.010000048,-0.018876291,-0.088297068,-0.095729674
0.009,0.00477596,0.009999952,-0.076696468,-0.105512422,-0.075729674
-0.046666667,0.28477596,0.139999976,0.066477845,0.082074895,0.088557194
0.099,0.09477596,0.03999995,-0.011396407,-0.037735242,0.014270326
-0.045,0.20477596,0.119999979,0.006479075,0.031860405,0.042675844
-0.021,-0.02522404,-0.020000048,-0.069856963,-0.08993714,-0.105729674
0.045833333,0.38477596,0.045619335,0.094888377,0.06890513,0.069482834
-0.031,-0.03522404,-0.030000048,-0.07886545,-0.109888275,-0.115729674
0.043970588,0.38477596,0.04276773,0.068970328,0.055151742,0.05385576
-0.089591473,-0.145873665,-0.078684155,-0.107496561,-0.165224338,-0.097125863
0.064444444,0.064969634,0.015743866,-0.029432392,0.073402922,0.080050272
0.03,0.154969634,0.065743904,0.018083271,0.05794842,0.056169161
-0.015555556,-0.015030366,-0.05225611,0.040746819,0.022646279,5.03E-05
0.054444444,0.054969634,0.005743866,0.02249217,0.055430926,0.070050272
0.031025641,0.234969634,0.007537363,0.001043301,0.030160038,0.014053151
0.024444444,0.024969634,-0.011256123,0.016749176,0.041978221,0.040050272
-0.055555556,-0.055030366,-0.088256102,0.004795266,-0.029626744,-0.039949728
0.004444444,0.004969634,-0.044256134,0.030363593,0.045293331,0.020050272
0.044444444,0.044969634,-0.004256134,0.059563425,0.081055072,0.060050272
0.041025641,0.256556412,0.012020476,0.004532793,0.031519353,0.02616881
0.076956522,-0.003443588,0.020885346,0.03109519,-0.010527703,0.001064269
-0.04,0.006556412,0.020885355,0.022788848,-0.035432579,0.011064269
0.006956522,-0.073443588,-0.00311465,0.024843739,-0.068956904,-0.068935731
-0.110555555,-0.060274625,-0.050318592,-0.033823275,-0.112486167,-0.024320438
0.01125,-0.052193621,-0.01699996,0.02690842,-0.176091406,-0.051954464
0.02125,-0.042193621,0.002000043,-0.001227158,-0.0686089,0.072006482
-0.018974359,0.207806379,-0.051990827,0.010988952,-0.023879788,0.085843917
-0.02875,-0.092193621,-0.04,-0.063999642,-0.14083172,0.022006482
-0.05875,-0.122193621,-0.07,-0.177543069,-0.12366657,-0.007993518
0.02125,-0.042193621,-0.004999986,-0.067185874,-0.131236073,-0.009999228
-0.02875,-0.092193621,-0.04,-0.045598009,-0.073033618,0.022006482
0.00125,-0.062193621,-0.01,0.022423335,-0.052984753,0.052006482
-0.026029412,0.217806379,-0.052108626,0.056311173,-0.027944736,0.080329852
-0.06875,-0.132193621,-0.08,-0.090698331,-0.134356046,-0.017993518
-0.06875,-0.132193621,-0.08,-0.089344878,-0.132369382,-0.017993518
0.01125,-0.052193621,0,-0.059437687,-0.100634027,0.062006482
0.015,-0.049343866,0.016435435,-0.05252956,-0.069270835,0.081236046
